"observed_on","user_login","quality_grade","num_identification_agreements","num_identification_disagreements","captive_cultivated","place_guess","latitude","longitude","species_guess","scientific_name","common_name","iconic_taxon_name","taxon_id"
"1","2011-08-14","greenmother","research",3,0,"false","Lake Arcadia Oklahoma",35.6483691574,-97.3704528809,"Turkey Vulture","Cathartes aura","Turkey Vulture","Aves",4756
"2","2012-08-21","greenmother","research",2,0,"false","Oklahoma, US",35.6607680722,-97.3765682881,"Wild Turkey","Meleagris gallopavo","Wild Turkey","Aves",906
"3","2012-08-22","greenmother","research",1,0,"false","Oklahoma County, Oklahoma",35.6038323,-97.3516558,"Great-tailed Grackle","Quiscalus mexicanus","Great-tailed Grackle","Aves",9607
"4","2012-10-11","greenmother","research",1,0,"false","Oklahoma County, Oklahoma",35.6038323,-97.3516558,"Northern Cardinal","Cardinalis cardinalis","Northern Cardinal","Aves",9083
"5","2012-10-11","greenmother","research",2,0,"false","Oklahoma County, Oklahoma",35.6038323,-97.3516558,"Eastern Meadowlark","Sturnella magna","Eastern Meadowlark","Aves",9528
"6","2012-10-28","greenmother","research",0,0,"false","Oklahoma County, Oklahoma",35.6038323,-97.3516558,"Great-tailed Grackle","Quiscalus mexicanus","Great-tailed Grackle","Aves",9607
"7","2012-05-30","ospreyeagle","research",4,0,"false","Edmond",35.6528323,-97.4780954,"Barn Swallow","Hirundo rustica","Barn Swallow","Aves",11901
"8","2012-12-02","greenmother","research",5,0,"false","Oklahoma County, Oklahoma",35.6038323,-97.3516558,"Double-crested Cormorant","Nannopterum auritum","Double-crested Cormorant","Aves",1454382
"9","2012-11-23","greenmother","research",2,0,"false","Oklahoma County, Oklahoma",35.6038323,-97.3516558,"Feral Pigeon","Columba livia domestica","Feral Pigeon","Aves",122767
"10","2012-11-23","greenmother","research",3,0,"false","Oklahoma County, Oklahoma",35.6038323,-97.3516558,"Eurasian Collared Dove","Streptopelia decaocto","Eurasian Collared-Dove","Aves",2969
"11","2013-02-03","greenmother","research",3,0,"false","Oklahoma County, Oklahoma",35.6038323,-97.3516558,"Cedar Waxwing","Bombycilla cedrorum","Cedar Waxwing","Aves",7428
"12","2013-02-03","greenmother","research",2,0,"false","Oklahoma County, Oklahoma",35.6038323,-97.3516558,"American Crow","Corvus brachyrhynchos","American Crow","Aves",8021
"13","2013-01-20","greenmother","research",4,0,"false","Oklahoma County, Oklahoma",35.6038323,-97.3516558,"Red-tailed Hawk (Buteo jamaicensis)","Buteo jamaicensis","Red-tailed Hawk","Aves",5212
